week_date,week_number,month_number,month_name,calendar_year,segment,age_band,demographic,platform,region,avg_transaction,transactions,sales
2020-08-31,35,8,August,2020,C3,Retirees,Couples,Retail,ASIA,30.31,120631,3656163
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Retail,ASIA,31.56,31574,996575
2020-08-31,35,8,August,2020,Unknown,Unknown,Unknown,Retail,USA,31.20,529151,16509610
2020-08-31,35,8,August,2020,C1,"Young Adults",Couples,Retail,EUROPE,31.42,4517,141942
2020-08-31,35,8,August,2020,C2,"Middle Aged",Couples,Retail,AFRICA,30.29,58046,1758388
2020-08-31,35,8,August,2020,F2,"Middle Aged",Families,Shopify,CANADA,182.54,1336,243878
2020-08-31,35,8,August,2020,F3,Retirees,Families,Shopify,AFRICA,206.64,2514,519502
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Shopify,ASIA,172.11,2158,371417
2020-08-31,35,8,August,2020,F2,"Middle Aged",Families,Shopify,AFRICA,155.84,318,49557
2020-08-31,35,8,August,2020,C3,Retirees,Couples,Retail,AFRICA,35.02,111032,3888162
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Shopify,USA,186.53,1398,260773
2020-08-31,35,8,August,2020,C2,"Middle Aged",Couples,Shopify,OCEANIA,189.38,4661,882690
2020-08-31,35,8,August,2020,C2,"Middle Aged",Couples,Retail,"SOUTH AMERICA",37.67,1029,38762
2020-08-31,35,8,August,2020,C4,Retirees,Couples,Shopify,"SOUTH AMERICA",152.83,6,917
2020-08-31,35,8,August,2020,F3,Retirees,Families,Shopify,EUROPE,306.22,115,35215
2020-08-31,35,8,August,2020,F3,Retirees,Families,Retail,OCEANIA,55.03,551905,30371770
2020-08-31,35,8,August,2020,C3,Retirees,Couples,Shopify,ASIA,190.11,1969,374327
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Retail,AFRICA,53.13,97604,5185233
2020-08-31,35,8,August,2020,C2,"Middle Aged",Couples,Retail,OCEANIA,26.80,111219,2980673
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Retail,USA,39.23,11820,463738
2020-08-31,35,8,August,2020,F3,Retirees,Families,Retail,"SOUTH AMERICA",48.22,1363,65730
2020-08-31,35,8,August,2020,C3,Retirees,Couples,Retail,AFRICA,50.64,284971,14430196
2020-08-31,35,8,August,2020,F2,"Middle Aged",Families,Retail,ASIA,30.88,70496,2176980
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Shopify,AFRICA,178.77,2678,478756
2020-08-31,35,8,August,2020,C4,Retirees,Couples,Shopify,USA,150.86,22,3319
2020-08-31,35,8,August,2020,F3,Retirees,Families,Retail,CANADA,56.29,94274,5306746
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Retail,ASIA,47.85,94287,4511841
2020-08-31,35,8,August,2020,Unknown,Unknown,Unknown,Retail,EUROPE,43.81,3064,134249
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Shopify,EUROPE,225.57,7,1579
2020-08-31,35,8,August,2020,C4,Retirees,Couples,Retail,"SOUTH AMERICA",34.81,329,11451
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Retail,"SOUTH AMERICA",36.99,854,31589
2020-08-31,35,8,August,2020,C2,"Middle Aged",Couples,Shopify,EUROPE,297.59,180,53567
2020-08-31,35,8,August,2020,F2,"Middle Aged",Families,Shopify,EUROPE,268.20,15,4023
2020-08-31,35,8,August,2020,C2,"Middle Aged",Couples,Retail,AFRICA,42.44,112361,4768214
2020-08-31,35,8,August,2020,C2,"Middle Aged",Couples,Shopify,ASIA,174.93,2269,396909
2020-08-31,35,8,August,2020,C4,Retirees,Couples,Shopify,AFRICA,147.62,58,8562
2020-08-31,35,8,August,2020,F3,Retirees,Families,Retail,USA,61.05,142898,8723663
2020-08-31,35,8,August,2020,C3,Retirees,Couples,Shopify,OCEANIA,203.69,4703,957939
2020-08-31,35,8,August,2020,Unknown,Unknown,Unknown,Shopify,"SOUTH AMERICA",190.63,40,7625
2020-08-31,35,8,August,2020,C1,"Young Adults",Couples,Shopify,USA,125.82,164,20635
2020-08-31,35,8,August,2020,C1,"Young Adults",Couples,Shopify,"SOUTH AMERICA",113.25,20,2265
2020-08-31,35,8,August,2020,C1,"Young Adults",Couples,Retail,EUROPE,43.47,14583,633917
2020-08-31,35,8,August,2020,F2,"Middle Aged",Families,Shopify,OCEANIA,159.94,452,72293
2020-08-31,35,8,August,2020,F2,"Middle Aged",Families,Retail,"SOUTH AMERICA",36.23,382,13839
2020-08-31,35,8,August,2020,C3,Retirees,Couples,Retail,"SOUTH AMERICA",45.25,1503,68009
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Retail,CANADA,38.27,7033,269176
2020-08-31,35,8,August,2020,Unknown,Unknown,Unknown,Retail,"SOUTH AMERICA",33.05,329,10874
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Retail,CANADA,54.11,24153,1306932
2020-08-31,35,8,August,2020,Unknown,Unknown,Unknown,Shopify,EUROPE,233.80,15,3507
2020-08-31,35,8,August,2020,F3,Retirees,Families,Retail,EUROPE,61.28,18676,1144376
2020-08-31,35,8,August,2020,C3,Retirees,Couples,Shopify,"SOUTH AMERICA",175.00,19,3325
2020-08-31,35,8,August,2020,Unknown,Unknown,Unknown,Shopify,CANADA,173.26,87,15074
2020-08-31,35,8,August,2020,C4,Retirees,Couples,Retail,CANADA,49.81,29577,1473178
2020-08-31,35,8,August,2020,F1,"Young Adults",Families,Retail,OCEANIA,32.89,41631,1369115
2020-08-31,35,8,August,2020,F3,Retirees,Families,Retail,ASIA,50.31,402652,20255591
2020-08-31,35,8,August,2020,Unknown,Unknown,Unknown,Retail,ASIA,25.19,1936351,48773122
2020-08-31,35,8,August,2020,C2,"Middle Aged",Couples,Shopify,ASIA,135.06,413,55780
2020-08-31,35,8,August,2020,F3,Retirees,Families,Shopify,EUROPE,138.50,4,554
